"gross" "show" "week_ending" "id.show" "id.year" "id.week"
1.01629 "The Lion King" 2001-07-22 8 2 8
0.68284 "The Phantom of the Opera" 2001-07-22 9 2 8
0.714302 "Beauty and the Beast" 2001-07-29 1 2 9
0.499231 "Chicago" 2001-07-29 2 2 9
0.501259 "Les Miserables" 2001-07-29 4 2 9
0.444702 "Rent" 2001-07-29 6 2 9
1.020789 "The Lion King" 2001-07-29 8 2 9
0.699985 "The Phantom of the Opera" 2001-07-29 9 2 9
0.739277 "Beauty and the Beast" 2001-08-05 1 2 10
0.518833 "Chicago" 2001-08-05 2 2 10
0.549309 "Les Miserables" 2001-08-05 4 2 10
0.451373 "Rent" 2001-08-05 6 2 10
1.034932 "The Lion King" 2001-08-05 8 2 10
0.713084 "The Phantom of the Opera" 2001-08-05 9 2 10
0.736472 "Beauty and the Beast" 2001-08-12 1 2 11
0.474289 "Chicago" 2001-08-12 2 2 11
0.509323 "Les Miserables" 2001-08-12 4 2 11
